codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
TAN2,18WTAN2-12345-FS,TANES 2G,TANES GR.2 GENERAC.,Embalse,HC G,HCHI,"61,8"
TAN2B,18WTAN2B-12345-9,TANES 2B,TANES GR.2 BOMBEO,Consumo bombeo,HC G,TANB,"55,0"
TANGUBU,18WTANGUBU-123-X,TANGUBU,UF COG ANGULO BURGOS,Gas natural cogeneración,DETIC,COGTANG,"6,3"
TANGURO,18WTANGURO-123-L,TANGURO,UF COG ANGULO RONDA,Gas natural cogeneración,DETIC,COGTAN2,"3,0"
TAPOWER,18WTAPOWER-12-C7,TAPOWER,TARRAGONA POWER,Ciclo combinado,TAPOW,TAPOWER,"416,9"
TARACEN,18W000000000QIJY,TARACN,TARACNAN,Solar fotovoltaica,GESTE,FTARACN,"6,6"
TARACES,18W000000000QILU,TARCS,TARACENS,Solar fotovoltaica,GESTE,FTARACS,"5,1"
TARAYUE,18WTARAYUE-12-ET,TARAYUE,P.E.TARAYUELA,Eólica terrestre,IBGES,EHIBGES,"30,0"
TARBA,18W000000000JYQ0,TARBA,UF TARBA,Residuos varios,GEMSL,TTARBA,"8,1"
TARDI1,18WTARDI1-123-EF,TARDI1,P.E. TARDIENTA I,Eólica terrestre,IBGES,EHIBGES,"49,5"
TARDI2,18WTARDI2-123-E7,TARDI2,P.E. TARDIENTA II,Eólica terrestre,IBGES,EHIBGES,"44,2"
TASIX,18W000000000TUS5,TASIX,TASIX,Solar fotovoltaica,GNRA,UPSON5,"13,2"
TASIX2,18W000000000TXM8,TASIX2,TASIX2,Solar fotovoltaica,GNRA,UPSON5,"3,4"
TATAC01,18W000000000UXK8,TATAC01,TATAC01,Comercializadores mercado libre,TATAN,TATAC01,"0,0"
TAULELL,18WTAULELL-12-DH,TAULELL,TAULELL,Gas natural cogeneración,WMARK,TCTAULE,"9,9"
TAUSTE,18W000000000SZDO,TAUSTE,UF SOLAR TAUSTE,Solar fotovoltaica,NEXU,FTAUSTE,"1,9"
TAUTC01,18W000000000LD2T,TAUTRA,TAUTRA COMPRA,Comercializadores mercado libre,TAUTR,TAUTC01,"0,1"
TCIBCUR,18W000000000PMV2,TCIBCUR,COGENERACION MECANISMO AJUSTE,Gas natural cogeneración,IBCUR,TCIBCUR,"0,0"
TCOTIL,18W000000000GEQZ,COTILLAS,TORRES COTILLAS,Solar fotovoltaica,NEXU,FCOTILL,"42,2"
TE4148,18W000000000UI0J,TE4148,TE4148,Solar fotovoltaica,SOLRC,FTE4148,"40,0"
TE91156,18W000000000UI2F,TE91156,TE91156,Solar fotovoltaica,SOLRC,FTE9156,"29,6"
TEA,18WTEA-123456-EX,TEA,P.E. DE TEA,Eólica terrestre,EGED,EDEVAG,"48,1"
TEA1,18WTEA1-123456-X,TEA1,18WTEA1-123456-X,Fluyente,EGLE,HENGAG,"2,6"
TEBAR,18W000000000SZEM,TEBAR,UF SOLAR TEBAR,Solar fotovoltaica,NEXU,FTEBAR,"1,0"
TECNUTR,18W000000000OGJB,TECNUTR,TECNUTR,Derivados del petróleo o carbón,DETIC,COGTECN,"1,0"
TECQU,18WTECQU-12345-4,TECQU,TECNICAS COGENERACIÓN QUART,Gas natural cogeneración,IGNIS,TTECQU,"7,3"
TEIXID,18W000000000TSRD,TEIXID,TEIXID,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
TEIXIDO,18WTEIXIDO-12-EN,TEIXIDO,TEIXIDO,Eólica terrestre,ECYR,EEGPEM,"23,1"
TEJEDA,18W000000000J22X,TEJEDA,PS TEJEDA,Solar fotovoltaica,INTRA,INTRE02,"5,0"
TEJES,18W000000000N2YR,TEJES,TEJES,Solar fotovoltaica,GNRA,FVTEJES,"7,0"
TEJONER,18WTEJONEROVEJER,TEJONER,PARQUE EOLICO TEJONERO,Eólica terrestre,NEXU,ETEJONE,"32,0"
TELEST2,18W000000000PPUW,TELEST2,FV TELESTO SOLAR 2,Solar fotovoltaica,EGLE,FFV155,"40,0"
TELEST3,18W000000000PPVU,TELEST3,FV TELESTO SOLAR 3,Solar fotovoltaica,EGLE,FFV154,"40,0"
TENDC01,18W0000000006OEW,TENDC01,TENDC01,Comercializadores mercado libre,TENDE,TENDC01,"1,0"
TEOTC01,18W000000000SWCZ,TORNA,TORNAENER,Comercializadores mercado libre,TORNA,TEOTC01,"0,0"
TEQIX,18W000000000TU0O,TEQIX,TEQIX,Solar fotovoltaica,GNRA,UPSON4,"5,0"
TERM,18WTERM-12345-A5,TERMENS ,TERMENS,Fluyente,ENDG,EBRFEN,"11,8"
TERMOS1,18W000000000RWNH,TGST148,TGST148,Solar térmica,GESTE,TGST148,"49,9"
TERMOS2,18W000000000RWQB,TGST149,TGST149,Solar térmica,GESTE,TGST149,"49,9"
TEROYO,18W000000000OIAN,TEROYO,UF COG TEJ ROYO,Gas natural cogeneración,NEXU,TTROYO,"1,0"
TERRER,18W000000000TGC5,TERRER,UF SOLAR TERRER,Solar fotovoltaica,NEXU,FTERRER,"107,5"
TERSC01,18W0000000006Q0H,TERSACOMER,TERSA COMPRA PEN,Comercializadores mercado libre,TERSA,TERSC01,"0,1"
TERUELO,18WTERUELO-12-E0,TERUELO,P.E. EL TERUELO,Eólica terrestre,IBGES,EHIBGES,"43,3"
TERVALI,18W000000000U6P5,FV TERVALI,FV TERVALIS,Solar fotovoltaica,DREUA,FDREU20,"1,5"
TESOPA,18W000000000GA3J,TESOPA,P E TESOPARDO,Eólica terrestre,GNCO,EGASNE2,"36,3"
TESORI,18W000000000GODV,TESORI,PE TESORILLO,Eólica terrestre,GNCO,EGASNE2,"26,0"
